Words                  Count    
the                    12868    
right                   7300    
you                     6647    
to                      4443    
of                      4017    
i                       3602    
and                     3453    
a                       3433    
it                      2923    
go                      2585    
-                       2521    
okay                    2457    
that                    2405    
's                      2211    
just                    2094    
left                    1808    
down                    1784    
yeah                    1709    
got                     1703    
have                    1649    
so                      1641    
're                     1633    
about                   1616    
then                    1609    
up                      1597    
uh                      1539    
huh                     1461    
do                      1383    
've                     1323    
no                      1311    
side                    1091    
well                    1089    
at                      1012    
is                      1003    
there                   1001    
"                       998     
hand                    994     
going                   985     
on                      974     
from                    949     
round                   925     
mmhmm                   903     
where                   875     
in                      869     
above                   864     
now                     831     
straight                814     
bottom                  751     
your                    742     
'm                      738     
top                     737     
n't                     720     
line                    719     
an                      667     
below                   635     
eh                      634     
ehm                     633     
if                      598     
along                   583     
page                    577     
underneath              561     
see                     554     
sort                    552     
like                    552     
oh                      550     
lake                    538     
be                      532     
but                     523     
what                    519     
inch                    495     
two                     490     
want                    481     
curve                   478     
come                    466     
inches                  442     
centimetres             430     
are                     426     
not                     418     
towards                 392     
start                   385     
or                      382     
bit                     357     
we                      349     
know                    348     
should                  345     
mine                    339     
'                       338     
over                    337     
mountain                337     
east                    335     
past                    332     
as                      306     
half                    301     
yes                     300     
tree                    293     
way                     291     
three                   291     
until                   290     
my                      289     
'll                     281     
til                     279     
with                    276     
point                   269     
this                    266     
bay                     263     
how                     263     
between                 261     
level                   255     
directly                254     
across                  254     
far                     251     
one                     250     
wee                     245     
draw                    234     
map                     233     
for                     232     
can                     231     
west                    228     
edge                    226     
again                   222     
bridge                  218     
back                    218     
slightly                212     
south                   211     
turn                    210     
aye                     209     
move                    205     
under                   201     
finish                  199     
get                     198     
stop                    198     
corner                  195     
diamond                 190     
white                   190     
them                    186     
centimetre              184     
mean                    181     
rope                    180     
away                    178     
me                      166     
middle                  163     
end                     156     
er                      154     
am                      154     
old                     151     
out                     151     
same                    150     
mm                      148     
forest                  147     
pine                    145     
kind                    142     
five                    141     
north                   138     
crane                   134     
sorry                   133     
cottage                 132     
here                    132     
abandoned               130     
head                    129     
hideout                 129     
say                     129     
which                   127     
great                   127     
other                   126     
halfway                 125     
ravine                  124     
rocks                   124     
keep                    123     
when                    122     
rock                    120     
cross                   120     
take                    119     
maybe                   119     
stone                   117     
very                    117     
erm                     116     
ah                      115     
all                     115     
another                 113     
banana                  112     
follow                  112     
goes                    112     
four                    111     
think                   110     
circle                  110     
would                   110     
could                   107     
paper                   107     
quite                   107     
fallen                  106     
by                      106     
monastery               106     
diagonally              105     
need                    104     
river                   103     
creek                   102     
meadow                  100     
off                     100     
through                  99     
cliffs                   97     
waterfall                97     
fort                     96     
near                     95     
mill                     92     
concealed                92     
due                      91     
